component,location,carrier,0
Load,NO1 0,electricity,
Load,NO1 0,industry electricity,
Load,NO1 0,land transport EV,
Load,NO1 0,low-temperature heat for industry,
Load,NO1 0,residential rural heat,
Load,NO1 0,residential urban decentral heat,
Load,NO1 0,services rural heat,
Load,NO1 0,services urban decentral heat,
Load,NO1 0,urban central heat,
Load,PL0 0,H2 for industry,
Load,PL0 0,electricity,
Load,PL0 0,industry electricity,
Load,PL0 0,land transport EV,
Load,PL0 0,low-temperature heat for industry,
Load,PL0 0,residential rural heat,
Load,PL0 0,residential urban decentral heat,
Load,PL0 0,services rural heat,
Load,PL0 0,services urban decentral heat,
Load,PL0 0,urban central heat,
Load,PT0 0,H2 for industry,
Load,PT0 0,electricity,
Load,PT0 0,industry electricity,
Load,PT0 0,land transport EV,
Load,PT0 0,low-temperature heat for industry,
Load,PT0 0,residential rural heat,
Load,PT0 0,residential urban decentral heat,
Load,PT0 0,services rural heat,
Load,PT0 0,services urban decentral heat,
Load,PT0 0,urban central heat,
Load,RO0 0,H2 for industry,
Load,RO0 0,electricity,
Load,RO0 0,industry electricity,
Load,RO0 0,land transport EV,
Load,RO0 0,low-temperature heat for industry,
Load,RO0 0,residential rural heat,
Load,RO0 0,residential urban decentral heat,
Load,RO0 0,services rural heat,
Load,RO0 0,services urban decentral heat,
Load,RO0 0,urban central heat,
Load,RS0 0,H2 for industry,
Load,RS0 0,electricity,
Load,RS0 0,industry electricity,
Load,RS0 0,land transport EV,
Load,RS0 0,low-temperature heat for industry,
Load,RS0 0,residential rural heat,
Load,RS0 0,residential urban decentral heat,
Load,RS0 0,services rural heat,
Load,RS0 0,services urban decentral heat,
Load,RS0 0,urban central heat,
Load,SE1 0,H2 for industry,
Load,SE1 0,electricity,
Load,SE1 0,industry electricity,
Load,SE1 0,land transport EV,
Load,SE1 0,low-temperature heat for industry,
Load,SE1 0,residential rural heat,
Load,SE1 0,residential urban decentral heat,
Load,SE1 0,services rural heat,
Load,SE1 0,services urban decentral heat,
Load,SE1 0,urban central heat,
Load,SI0 0,H2 for industry,
Load,SI0 0,electricity,
Load,SI0 0,industry electricity,
Load,SI0 0,land transport EV,
Load,SI0 0,low-temperature heat for industry,
Load,SI0 0,residential rural heat,
Load,SI0 0,residential urban decentral heat,
Load,SI0 0,services rural heat,
Load,SI0 0,services urban decentral heat,
Load,SI0 0,urban central heat,
Load,SK0 0,H2 for industry,
Load,SK0 0,electricity,
Load,SK0 0,industry electricity,
Load,SK0 0,land transport EV,
Load,SK0 0,low-temperature heat for industry,
Load,SK0 0,residential rural heat,
Load,SK0 0,residential urban decentral heat,
Load,SK0 0,services rural heat,
Load,SK0 0,services urban decentral heat,
Load,SK0 0,urban central heat,
Load,XK0 0,H2 for industry,
Load,XK0 0,electricity,
Load,XK0 0,industry electricity,
Load,XK0 0,land transport EV,
Load,XK0 0,low-temperature heat for industry,
Load,XK0 0,residential rural heat,
Load,XK0 0,residential urban decentral heat,
Load,XK0 0,services rural heat,
Load,XK0 0,services urban decentral heat,
Load,XK0 0,urban central heat,
Generator,AL0 0,load,0.0
Generator,AL0 0,offwind-ac,0.22050199931081768
Generator,AL0 0,offwind-dc,0.3251724770858487
Generator,AL0 0,onwind,0.048558221268423164
Generator,AL0 0,residential rural solar thermal,0.018531045951629015
Generator,AL0 0,residential urban decentral solar thermal,0.019105212267864866
Generator,AL0 0,ror,0.3239286307053942
Generator,AL0 0,services rural solar thermal,0.016530102004504454
Generator,AL0 0,services urban decentral solar thermal,0.016903647110557952
Generator,AL0 0,solar,0.1270404093654999
Generator,AL0 0,solar rooftop,0.12701424551651289
Generator,AL0 0,solar-hsat,0.13457661472183235
Generator,AL0 0,urban central solar thermal,0.011935290640085507
Generator,AT0 0,load,0.0
Generator,AT0 0,onwind,0.11721823563624738
Generator,AT0 0,residential rural solar thermal,0.017045392967565836
Generator,AT0 0,residential urban decentral solar thermal,0.017099259334887835
Generator,AT0 0,ror,0.4397282764186268
Generator,AT0 0,services rural solar thermal,0.014189261807127746
Generator,AT0 0,services urban decentral solar thermal,0.014615517459928555
Generator,AT0 0,solar,0.1142234048336848
Generator,AT0 0,solar rooftop,0.08764342556652983
Generator,AT0 0,solar-hsat,0.10827487133348869
Generator,AT0 0,urban central solar thermal,0.016762995224660113
Generator,BA0 0,load,0.0
Generator,BA0 0,offwind-ac,0.09952678559110412
Generator,BA0 0,onwind,0.03940072964220524
Generator,BA0 0,residential rural solar thermal,0.016075507985547115
Generator,BA0 0,residential urban decentral solar thermal,0.015784020657844813
Generator,BA0 0,services rural solar thermal,0.01403024918407897
Generator,BA0 0,services urban decentral solar thermal,0.013784875084158673
Generator,BA0 0,solar,0.10947918821753586
Generator,BA0 0,solar rooftop,0.09771777002407876
Generator,BA0 0,solar-hsat,0.11210793204299423
Generator,BA0 0,urban central solar thermal,0.014841947424078452
Generator,BE0 0,load,0.0
Generator,BE0 0,nuclear,0.43983695834228426
Generator,BE0 0,offwind-ac,0.47899873994163933
Generator,BE0 0,offwind-dc,0.5152936970681368
Generator,BE0 0,onwind,0.2670143092378967
Generator,BE0 0,residential rural solar thermal,0.010256702617817328
Generator,BE0 0,residential urban decentral solar thermal,0.015282940933498553
Generator,BE0 0,ror,0.510483884359558
Generator,BE0 0,services rural solar thermal,0.009403847930148278
Generator,BE0 0,services urban decentral solar thermal,0.01371294296260126
Generator,BE0 0,solar,0.10167095273897817
Generator,BE0 0,solar rooftop,0.08410405883042699
Generator,BE0 0,solar-hsat,0.10205761728466807
Generator,BE0 0,urban central solar thermal,0.012034523036678634
Generator,BG0 0,load,0.0
Generator,BG0 0,nuclear,0.3456248260981937
Generator,BG0 0,offwind-ac,0.24007694019648365
