name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt
FI1 0 0 solar rooftop,FI1 0 low voltage,PQ,,0.0,0.0,True,0.0,10235.888964025762,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.02006163437390313,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,185.73831118193934
FR0 0 0 solar rooftop,FR0 0 low voltage,PQ,,0.0,0.0,True,0.0,127094.8680368752,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.019673889699348725,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,3610.5529571546094
FR5 0 0 solar rooftop,FR5 0 low voltage,PQ,,0.0,0.0,True,0.0,528.5210571547382,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.019437862798145272,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,527.5275853789472
GB2 0 0 solar rooftop,GB2 0 low voltage,PQ,,0.0,0.0,True,0.0,120837.86035405498,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.02087333299797275,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,449.28134734564355
GB3 0 0 solar rooftop,GB3 0 low voltage,PQ,,0.0,0.0,True,0.0,3277.5565889099976,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.01964755625410803,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,98.73537018754205
GR0 0 0 solar rooftop,GR0 0 low voltage,PQ,,0.0,0.0,True,0.0,16219.437943869352,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.019255405160798197,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,16173.400240683004
HR0 0 0 solar rooftop,HR0 0 low voltage,PQ,,0.0,0.0,True,0.0,7465.029265155043,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.02004635664205526,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,1889.0064444311802
HU0 0 0 solar rooftop,HU0 0 low voltage,PQ,,0.0,0.0,True,0.0,19293.75350259079,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.020784672323175834,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,449.01317694784194
IE3 0 0 solar rooftop,IE3 0 low voltage,PQ,,0.0,0.0,True,0.0,8909.321474265922,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.020555915651655286,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,1022.5524002749621
IT0 0 0 solar rooftop,IT0 0 low voltage,PQ,,0.0,0.0,True,0.0,105127.26848268192,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.019296378432385124,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,104657.0279219663
IT4 0 0 solar rooftop,IT4 0 low voltage,PQ,,0.0,0.0,True,0.0,2672.682056780141,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.01959796107032824,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,2667.7576053742573
LT0 0 0 solar rooftop,LT0 0 low voltage,PQ,,0.0,0.0,True,0.0,5288.617291749715,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.01947433727264246,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,801.7945380407818
