cost,component,location,carrier,0
capital,Generator,IE3 0,solar,36049708.61257
capital,Generator,IE3 0,solar rooftop,970088.84622
capital,Generator,IE3 0,solar-hsat,1420178.11661
capital,Generator,IE3 0,urban central solar thermal,148145.72624
capital,Generator,IT0 0,load,0.0
capital,Generator,IT0 0,nuclear,1109582081.1666
capital,Generator,IT0 0,offwind-ac,5551495.2792
capital,Generator,IT0 0,offwind-dc,1692675.42882
capital,Generator,IT0 0,onwind,901812614.90895
capital,Generator,IT0 0,residential rural solar thermal,387578.66309
capital,Generator,IT0 0,residential urban decentral solar thermal,397917.39237
capital,Generator,IT0 0,ror,2385990614.24019
capital,Generator,IT0 0,services rural solar thermal,397364.41544
capital,Generator,IT0 0,services urban decentral solar thermal,342829.7739
capital,Generator,IT0 0,solar,21289391328.09635
capital,Generator,IT0 0,solar rooftop,3673556516.02268
capital,Generator,IT0 0,solar-hsat,1963463.26944
capital,Generator,IT0 0,urban central solar thermal,332759.34204
capital,Generator,IT4 0,load,0.0
capital,Generator,IT4 0,offwind-ac,974055.00382
capital,Generator,IT4 0,offwind-dc,1181027.18436
capital,Generator,IT4 0,onwind,1524619757.2355
capital,Generator,IT4 0,residential rural solar thermal,319088.56342
capital,Generator,IT4 0,residential urban decentral solar thermal,280712.71002
capital,Generator,IT4 0,ror,39784795.01274
capital,Generator,IT4 0,services rural solar thermal,311818.68443
capital,Generator,IT4 0,services urban decentral solar thermal,336460.31621
capital,Generator,IT4 0,solar,1141374559.04767
capital,Generator,IT4 0,solar rooftop,93344245.0051
capital,Generator,IT4 0,solar-hsat,1866765.76728
capital,Generator,IT4 0,urban central solar thermal,211642.4827
capital,Generator,LT0 0,load,0.0
capital,Generator,LT0 0,nuclear,1959866368.82645
capital,Generator,LT0 0,offwind-ac,3260850.97151
capital,Generator,LT0 0,offwind-dc,4297828.05674
capital,Generator,LT0 0,onwind,112506586.54732
capital,Generator,LT0 0,residential rural solar thermal,149312.15346
capital,Generator,LT0 0,residential urban decentral solar thermal,148848.81713
capital,Generator,LT0 0,ror,31125207.56225
capital,Generator,LT0 0,services rural solar thermal,161334.60467
capital,Generator,LT0 0,services urban decentral solar thermal,168651.83231
capital,Generator,LT0 0,solar,35211378.19647
capital,Generator,LT0 0,solar rooftop,1534763.86385
capital,Generator,LT0 0,solar-hsat,2360606.7139
capital,Generator,LT0 0,urban central solar thermal,148434.75695
capital,Generator,LU0 0,load,0.0
capital,Generator,LU0 0,onwind,14437936.07118
capital,Generator,LU0 0,residential rural solar thermal,130077.05525
capital,Generator,LU0 0,residential urban decentral solar thermal,178903.70256
capital,Generator,LU0 0,services rural solar thermal,136123.22212
capital,Generator,LU0 0,services urban decentral solar thermal,180133.4626
capital,Generator,LU0 0,solar,172836516.5535
capital,Generator,LU0 0,solar rooftop,883457.38311
capital,Generator,LU0 0,solar-hsat,1368775.54533
capital,Generator,LU0 0,urban central solar thermal,128525.27927
capital,Generator,LV0 0,load,0.0
capital,Generator,LV0 0,offwind-ac,1637486.43256
capital,Generator,LV0 0,offwind-dc,2287196.35267
capital,Generator,LV0 0,onwind,9566870.37187
capital,Generator,LV0 0,residential rural solar thermal,168309.48531
capital,Generator,LV0 0,residential urban decentral solar thermal,168596.09539
capital,Generator,LV0 0,ror,473380508.2809
capital,Generator,LV0 0,services rural solar thermal,177104.7718
capital,Generator,LV0 0,services urban decentral solar thermal,176871.80601
capital,Generator,LV0 0,solar,581852479.80212
capital,Generator,LV0 0,solar rooftop,5741047.04163
capital,Generator,LV0 0,solar-hsat,2292724.85813
capital,Generator,LV0 0,urban central solar thermal,157150.33541
capital,Generator,ME0 0,load,0.0
capital,Generator,ME0 0,offwind-ac,833627.90504
capital,Generator,ME0 0,offwind-dc,1095327.36677
