Activity,database,Friendly name,Activity long,Unit,Multiplier,Location,Aluminium,Chromium,Cobalt,Copper,Dysprosium,Gallium,Germanium,Graphite,Indium,Iridium,Lithium,Manganese,Neodymium,Nickel,Palladium,Platinum,Praseodymium,Selenium,Silicon,Silver,Tellurium,Vanadium,Zinc,Graphite (synthetic)
"direct air capture system, solvent-based, 1MtCO2",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,Direct air capture system,"direct air capture system, solvent-based, 1MtCO2 (RER)",MtCO2,1,RER,316403.7463,341989.4122,1250.416789,90472.08142,3.243426817,17.21529751,2.479832873,711.9452936,2.109349685,0.05132965,968.9105195,212825.3858,171.6305561,245108.6667,0.258002832,0.565345447,16.53658042,32.48223478,231318.473,309.1238788,0.995505742,145.1595632,64090.43287,
"electricity production, natural gas, combined cycle power plant",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,,"electricity production, natural gas, combined cycle power plant (CH)",KWh,1,CH,1.16E-05,7.05E-06,5.07E-08,7.85E-06,1.12E-10,1.19E-09,2.80E-11,4.68E-08,7.47E-11,1.80E-12,1.22E-08,1.39E-05,4.21E-09,7.08E-06,1.40E-11,2.24E-11,1.02E-09,3.23E-09,1.50E-05,4.44E-09,2.99E-11,1.29E-08,2.41E-06,
"electricity production, natural gas, conventional power plant",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,,"electricity production, natural gas, conventional power plant (DE)",KWh,1,DE,1.08E-05,2.20E-06,4.00E-08,6.54E-06,1.30E-10,1.35E-09,3.26E-11,5.00E-08,8.25E-11,1.96E-12,1.42E-08,1.53E-05,4.96E-09,3.93E-06,1.27E-11,2.42E-11,1.20E-09,2.71E-09,1.58E-05,5.12E-09,3.84E-11,1.47E-08,2.55E-06,
"electricity production, nuclear, boiling water reactor",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,,"electricity production, nuclear, boiling water reactor (CH)",kWh,1,CH,1.11E-05,1.50E-05,4.40E-08,1.15E-05,1.03E-10,1.06E-09,2.70E-11,3.95E-08,1.69E-08,1.21E-12,1.21E-08,5.62E-06,8.19E-09,1.09E-05,1.43E-11,1.59E-11,2.36E-09,4.91E-09,2.53E-05,2.84E-08,2.14E-11,1.37E-08,6.10E-06,
"electricity production, nuclear, pressure water reactor",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,,"electricity production, nuclear, pressure water reactor (CH)",kWh,1,CH,1.02E-05,1.42E-05,4.15E-08,1.11E-05,9.17E-11,9.23E-10,2.46E-11,3.50E-08,1.88E-08,1.14E-12,1.10E-08,5.54E-06,7.78E-09,1.04E-05,1.39E-11,1.50E-11,2.25E-09,4.81E-09,2.32E-05,3.08E-08,1.86E-11,1.22E-08,5.88E-06,
"fuel cell production, polymer electrolyte membrane, 2kW electrical, future",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,Fuel Cell,"fuel cell production, polymer electrolyte membrane, 2kW electrical, future (RoW)",kW,1,RoW,14.87019061,10.54493046,0.033367818,5.402400612,9.16E-05,0.000511921,8.08E-05,9.507132353,4.96E-05,4.02E-07,0.006098434,1.675755558,0.004731599,7.548591675,0.000111431,0.002625152,0.000254287,0.002090248,5.129909753,0.005933426,2.14E-05,0.003738108,0.922249812,
"furnace production, wood chips, average storage area, 50kW",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,,"furnace production, wood chips, average storage area, 50kW (RoW)",MW,0.05,RoW,650.0856656,46.31917117,3.726349893,254.3834221,0.009173369,0.036539729,0.000435992,1.471809459,0.006058522,6.91E-06,3.373102406,232.613406,0.493127729,107.9566405,0.000611394,0.001536394,0.021033795,0.090247009,369.6022231,1.034526522,0.001761815,0.273805631,152.8899931,
"gas power plant construction, combined cycle, 400MW electrical",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,,"gas power plant construction, combined cycle, 400MW electrical (RER)",MW,400,RER,937.3775712,987.2781747,4.109832986,943.1691638,0.001258073,0.017214929,0.24817289,1.870945385,0.002211675,0.017873449,0.272616144,272.3462405,0.043111259,735.3701279,0.00135213,0.00077972,0.004809536,0.385456419,582.9775375,0.091413347,-0.001438463,0.163981153,103.3435093,
"gas turbine construction, 10MW electrical",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,,"gas turbine construction, 10MW electrical (RER)",MW,10,RER,32.59967404,70.53583999,0.696878944,412.7938276,0.000296267,0.003564821,0.001343006,0.114979284,0.000790559,0.000103845,0.059454835,58.96708406,0.009887724,62.97628369,0.000592931,0.000277809,0.001242708,0.170893594,199.9191925,0.020248914,-0.000922128,0.035209809,38.29995287,
GB-DFIG_carrara,carrara_2020,GB-DFIG,,MW,1,,1400,470,,1400,2,,,,,,,780,12,430,,,0,,,,,,5500,
GB-PMSG_carrara,carrara_2020,GB-PMSG,,MW,1,,1600,580,,950,6,,,,,,,800,51,440,,,4,,,,,,5500,
"heat pump production, 30kW",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,Heat pump,"heat pump production, 30kW (RER)",MW,0.03,RER,86.38712472,1.945350045,2.610014697,1794.859686,0.000623294,0.009895555,6.94E-06,0.31862098,9.74E-05,8.05E-07,0.10945022,121.5844331,0.112863331,97.18520569,0.002552208,0.000935308,0.034365245,0.022332642,23.24931033,0.042019292,-0.004183545,0.089871409,173.7358004,
"market for electricity, low voltage",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,"North India electricity grid, low voltage","market for electricity, low voltage (IN-Northern grid)",kWh,1,IN-Northern grid,0.000330452,3.98E-05,1.25E-06,0.000483063,2.23E-09,2.37E-07,1.60E-09,5.85E-06,5.57E-09,1.69E-11,5.61E-07,3.07E-05,5.22E-08,4.15E-05,7.68E-10,6.19E-10,9.59E-09,2.01E-07,0.00049683,3.68E-07,2.81E-08,2.04E-06,7.01E-05,
"market for electricity, low voltage",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,"Swiss electricity market, low voltage","market for electricity, low voltage (CH)",kWh,1,CH,0.000216288,7.76E-05,9.16E-07,0.000450039,1.32E-08,1.51E-07,4.54E-10,3.72E-06,6.47E-09,1.10E-11,2.60E-07,4.50E-05,1.13E-07,6.57E-05,6.71E-10,2.52E-10,4.39E-08,1.88E-07,0.000378262,2.03E-07,7.42E-09,1.54E-06,9.61E-05,
"market for electricity, low voltage",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,"British electricity market, low voltage","market for electricity, low voltage (GB)",kWh,1,GB,0.000270239,6.78E-05,1.91E-06,0.000503281,1.61E-08,1.76E-07,8.83E-10,5.11E-06,5.87E-09,1.31E-11,1.19E-06,5.73E-05,1.40E-07,6.57E-05,8.48E-10,3.09E-10,5.41E-08,2.09E-07,0.000441875,2.51E-07,1.78E-08,6.24E-06,0.00011553,
"market for electricity, low voltage",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,"Alberta electricity market, low voltage","market for electricity, low voltage (CA-AB)",kWh,1,CA-AB,0.000196153,5.55E-05,3.40E-07,7.17E-05,5.91E-09,6.14E-08,8.21E-10,1.63E-06,6.19E-09,7.82E-12,2.66E-07,2.86E-05,6.96E-08,4.11E-05,1.55E-10,1.30E-09,1.98E-08,3.03E-08,0.000138638,1.38E-07,1.06E-08,2.43E-07,3.40E-05,
"market for electricity, medium voltage",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,"Alberta electricity market, medium voltage","market for electricity, medium voltage (CA-AB)",kWh,1,CA-AB,6.27E-05,5.10E-05,2.85E-07,3.18E-05,6.11E-09,1.73E-08,4.54E-10,4.84E-07,5.69E-09,6.30E-12,2.65E-07,2.76E-05,7.02E-08,4.04E-05,8.31E-11,1.34E-09,2.02E-08,1.32E-08,7.22E-05,7.89E-08,8.75E-10,2.44E-07,2.91E-05,
"market for electricity, medium voltage",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,"North India electricity grid, medium voltage","market for electricity, medium voltage (IN-Northern grid)",kWh,1,IN-Northern grid,0.000242223,2.92E-05,7.71E-07,0.000105248,2.26E-09,1.59E-07,8.47E-10,4.10E-06,2.88E-09,1.19E-11,5.81E-07,2.94E-05,4.88E-08,2.88E-05,2.02E-10,4.53E-10,9.08E-09,4.31E-08,0.000236573,2.58E-07,9.54E-09,2.23E-06,3.40E-05,
"nuclear power plant construction, boiling water reactor 1000MW",ecoinvent-3.10-cutoff,Boiling water reactor - DE,"nuclear power plant construction, boiling water reactor 1000MW (DE)",MW,1000,DE,684.147607,4312.554923,4.55854567,1416.387635,0.000192615,0.19977585,,0.940640694,0.00264209,,0.000150543,695.7415737,1.109930542,3230.436881,0.002184563,0.001350131,0.371873804,2.851652477,247.5816389,0.367665035,0.191621879,0.000717706,160.2707455,
"nuclear power plant construction, pressure water reactor, 1000MW",ecoinvent-3.10-cutoff,Pressure water reactor - DE,"nuclear power plant construction, pressure water reactor, 1000MW (DE)",MW,1000,DE,691.6785254,4578.656614,4.672157796,1414.382125,0.000178661,0.201814512,,0.878577548,0.002537335,,6.99E-05,613.8571546,0.877619345,3375.90179,0.002155147,0.001326966,0.294028447,2.841497795,253.7912594,0.362729068,0.190939517,0.000688134,153.775274,
"photovoltaic plant construction, 570kWp, multi-Si, on open ground",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,PV plant - multi-Si,"photovoltaic plant construction, 570kWp, multi-Si, on open ground (GLO)",MW,0.57,GLO,21547.40308,573.4709205,7.990797464,3705.185408,0.01615261,20.38319769,0.002171404,728.8895077,0.029319748,0.000144784,1.860540372,874.5325728,0.63893659,569.63471,0.005546694,0.002890343,0.16234396,1.53845932,29811.28453,40.90966074,0.012497763,2.581629441,2076.731646,
"photovoltaic slanted-roof installation, 3 kWp, CdTe, panel, mounted, on roof",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,Rooftop PV - CdTe,"photovoltaic slanted-roof installation, 3 kWp, CdTe, panel, mounted, on roof (RER)",MW,0.003,RER,13934.49611,278.4265607,9.251048473,6046.621274,0.009311275,0.180299075,5.55E-06,32.38600664,0.017845478,1.37E-06,1.095945364,272.7871476,0.214139654,348.0613324,0.015269067,0.003678492,0.048990931,2.507642593,21124.87607,1.893467294,60.16862563,1.885217887,929.9302617,
"photovoltaic slanted-roof installation, 3kWp, a-Si, panel, mounted, on roof",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,Rooftop PV - a-Si,"photovoltaic slanted-roof installation, 3kWp, a-Si, panel, mounted, on roof (RoW)",MW,0.003,RoW,58727.76879,3751.516644,17.74730566,10212.23425,0.024199789,0.513792393,0.177848435,214.7537222,0.77494262,1.38E-06,2.735319723,1975.515879,1.122060737,1778.920314,0.01483415,0.006606749,0.305154707,4.265870085,9099.862529,2.076800373,16.14756712,4.343365898,45403.18639,
"photovoltaic slanted-roof installation, 3kWp, single-Si, panel, mounted, on roof",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,Rooftop PV - single-Si,"photovoltaic slanted-roof installation, 3kWp, single-Si, panel, mounted, on roof (RER)",MW,0.003,RER,15855.88644,363.2464651,10.46809482,6462.340559,0.014852002,18.7985441,7.54E-06,386.8215458,0.024066728,1.15E-06,1.398915882,405.2431315,0.50884181,405.1739743,0.015931484,0.004050606,0.140611044,2.681331578,18818.01679,22.20927964,0.002479208,2.688842175,1340.788293,
"transmission network construction, electricity, high voltage direct current aerial line",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,HVDC transmission network construction,"transmission network construction, electricity, high voltage direct current aerial line (RER)",kilometer,1,RER,6953.61672,25.87533857,0.86681641,79.6624873,0.003271319,0.03266589,0.002237,11.56920384,0.0072088,6.85E-05,0.58259864,285.5846836,0.1374613,47.23868181,0.001569782,0.000738817,0.009985349,0.030115842,662.1473092,0.217730001,0.001238973,0.265865739,613.4979385,
"transmission network construction, electricity, medium voltage",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,Medium voltage transmission network construction,"transmission network construction, electricity, medium voltage (RoW)",kilometer,1,RoW,1973.657385,85.9218957,3.667765224,2416.268426,0.000918184,0.012136918,0.000482,3.350018075,0.004250808,3.09E-05,0.197494235,23.3121256,0.040825754,93.85761198,0.003448344,0.001290867,0.006109665,1.001185321,1154.744756,0.074163727,-0.005965158,0.104480081,219.559763,
"wind power plant construction, 2MW, offshore, fixed parts",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,"Wind, offshore, fixed parts (Bonus 2 MW)","wind power plant construction, 2MW, offshore, fixed parts (GLO)",MW,2,GLO,483.5952922,181.444395,5.401172372,1782.763176,0.005656853,0.052424632,0.00835449,1.687367636,0.023732623,0.000386542,1.654006658,1375.435311,0.25648251,515.2081425,0.002669234,0.001766256,0.018142991,0.738351429,1771.531695,0.544653279,-0.001726659,0.470817786,249.0438452,
"wind power plant construction, 2MW, offshore, fixed parts, direct drive",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,"Wind, offshore, fixed parts(Bonus 2 MW), DD","wind power plant construction, 2MW, offshore, fixed parts, direct drive (GLO)",MW,2,GLO,483.5952921,181.444395,5.401172372,1782.763176,0.005656853,0.052424632,0.00835449,1.687367636,0.023732623,0.000386542,1.654006658,1375.435311,0.25648251,515.2081425,0.002669234,0.001766256,0.018142991,0.738351429,1771.531694,0.544653279,-0.001726659,0.470817786,249.0438451,
"wind power plant construction, 2MW, offshore, moving parts",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,"Wind, offshore, moving parts (Bonus 2 MW)","wind power plant construction, 2MW, offshore, moving parts (GLO)",MW,2,GLO,1645.659006,6268.06886,5.591251021,884.3579706,1.259388676,0.051948079,0.003471717,5.565733832,0.046291644,0.000204687,0.783682238,1999.918333,9.63968054,4265.465486,0.001227032,0.000760846,4.027520948,0.485577655,908.1806816,0.261690165,0.001218418,50.98648608,4588.176699,
"wind power plant construction, 2MW, offshore, moving parts, direct drive",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,"Wind, offshore, moving parts (Bonus 2 MW), DD","wind power plant construction, 2MW, offshore, moving parts, direct drive (GLO)",MW,2,GLO,1374.855835,6139.804671,5.608097156,902.5773992,9.253847944,0.050058711,0.003550153,4.73047645,0.038781834,0.000199713,0.795820299,1160.928523,97.17574086,4205.243354,0.001259656,0.000774585,35.03123659,0.503554832,1572.20205,0.265548917,0.002012531,50.94481765,582.5279167,
"wind power plant construction, 800kW, moving parts",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,"Wind power plant, moving parts (Nordex N50/800 plant)","wind power plant construction, 800kW, moving parts (GLO)",MW,0.8,GLO,1360.995873,4617.322289,5.477773567,1701.872349,1.258449409,0.040251362,0.001007547,5.033023959,0.047085316,6.82E-05,0.5759717,1944.274874,9.599225229,3155.897667,0.00239458,0.001080058,4.021398441,0.833660044,1100.355131,0.198019069,-0.002150593,50.86784223,4651.646757,
"wind power plant construction, 800kW, moving parts, direct drive",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,"Wind power plant, moving parts (Nordex N50/800 plant), DD","wind power plant construction, 800kW, moving parts, direct drive (GLO)",MW,0.8,GLO,1090.19229,4489.057997,5.494617381,1720.090781,9.252908668,0.038361895,0.00103892,4.197763615,0.039573784,6.62E-05,0.588108597,1105.28501,97.13528353,3095.675433,0.002427202,0.001093796,35.02511464,0.851636812,1764.337463,0.201877477,-0.001356485,50.82617045,645.9976263,
"wind turbine construction, 4.5MW, onshore",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,"Wind, onshore (Enercon E112)","wind turbine construction, 4.5MW, onshore (GLO)",MW,4.5,GLO,1961.85801,1098.84407,17.93152801,8609.791463,1.270576451,0.132871432,0.048998334,8.058700088,0.064977661,0.001938082,4.381473567,3767.601567,10.16028007,1263.00957,0.013202273,0.006312291,4.052093485,3.707885592,4651.939931,1.457086704,-0.015617569,51.69824965,5412.219572,
