,Activity,database,Friendly name,Activity long,Unit,Multiplier,Location,Aluminium,Chromium,Cobalt,Copper,Dysprosium,Gallium,Germanium,Graphite,Indium,Iridium,Lithium,Manganese,Neodymium,Nickel,Palladium,Platinum,Praseodymium,Selenium,Silicon,Silver,Tellurium,Vanadium,Zinc
205,"nuclear power plant construction, boiling water reactor 1000MW",ei_cutoff_3.10_image_SSP3-H_2050 2025-10-08,Boiling water reactor - DE,"nuclear power plant construction, boiling water reactor 1000MW (DE)",MW,1000.0,DE,387.91985570186245,532804.4386966137,2.9796307739886494,1319.3084721370792,0.006041728430657236,0.07037338632921293,1.7795516636457802,1.9792675361754057,5806.538441945207,0.0002133435122626,0.0677785976403182,1235.3485467412809,0.27683462541623066,987.2837127650356,0.00189029031239359,0.0016699126986500722,0.06695597959228708,647.0797600898368,827851.9339128463,8.667478226804738,-0.0016493099559900214,1.0936851478308032,432.27029765397856
206,"electricity production, nuclear, pressure water reactor",ei_cutoff_3.10_image_SSP3-H_2050 2025-10-08,,"electricity production, nuclear, pressure water reactor (CH)",kWh,1.0,CH,3.0211065570812492e-06,4.410309370140296e-06,1.0997285951741731e-08,3.4823800341682564e-06,1.8411145143878454e-11,2.384644219899474e-10,4.848382312372581e-12,9.359114039841412e-09,5.9958666739677585e-09,5.048784737412301e-16,3.7951557507618487e-10,1.7065707566906416e-06,2.2583677380078168e-09,3.54584293903966e-06,4.16394178965092e-12,5.746847930469287e-12,6.87079531112265e-10,1.518615261409857e-09,7.139080290097871e-06,9.448151989253978e-09,9.743243980125244e-12,2.8359998602940783e-09,1.8522211952463768e-06
207,"direct air capture system, solvent-based, 1MtCO2",ei_cutoff_3.10_image_SSP3-H_2050 2025-10-08,Direct air capture system,"direct air capture system, solvent-based, 1MtCO2 (RER)",MtCO2,1.0,RER,229564.7206912837,335649.29388686374,637.4960178884869,71714.86005422934,1.9873592380922611,10.459619906419936,1.4506340880134925,433.8093703489538,1.689309512669821,8.534999907100949e-05,33.83861756467466,189351.9219335675,111.64944768141594,261642.00724539213,0.1688899880915761,0.7495203912140369,13.247203145468657,27.424870460089732,201222.39337932796,195.32370749236227,0.6050892755842238,113.0249156748126,74723.32288310489
208,"market for battery capacity, Li-ion, LFP",ei_cutoff_3.10_image_SSP3-H_2050 2025-10-08,Market for LFP,"market for battery capacity, Li-ion, LFP (GLO)",MWh,0.001,GLO,1304.7005758366963,0.0349169399663612,1.0429030090567,665.8133999734415,0.0006817151926217273,0.010190966515543291,2.2939859586161114e-07,2.2662576624665,1.9039164202564517e-06,3.4904154921214444e-11,61.8397135064171,13.404073624279599,0.2592701955279,41.6865638392418,0.006860520422529267,0.0003670481239608898,0.08334955419551551,0.0002911587793857,0.4071503271241111,0.582966109006,-0.001046814303804959,0.1433943946149,117.4627773884189
209,"market for battery capacity, Li-ion, NMC532",ei_cutoff_3.10_image_SSP3-H_2050 2025-10-08,Market for NMC532,"market for battery capacity, Li-ion, NMC532 (GLO)",MWh,0.001,GLO,1156.9797588420176,0.0841778485400084,259.85478026325086,1197.2136379228998,0.0008586946864396719,0.011137287580602069,2.804845924681302e-07,1.8238677572232,1.9151812007429668e-06,3.4590135391203627e-11,99.73399758240089,277.8698055106561,0.1778918538063,273.7661846997645,0.006052831809227584,0.0003884166351388459,0.05516719449385935,0.0002599157728049,1.3215496439785792,0.5254989675036,-0.0007881012166126774,0.1606934493629,117.6890179157913
210,"hydropower plant construction, reservoir, non-alpine regions",ei_cutoff_3.10_image_SSP3-H_2050 2025-10-08,Hydro run-of-river,"hydropower plant construction, reservoir, non-alpine regions (RER)",MW,175.0,RER,79476.89297856085,40776378.26680371,403.3755067981681,18755.52813321045,0.9783784058257163,5.482746832310995,137.0598834921484,188.89867818530914,70.60612349371289,0.0029524433448211,12.777645588139354,82380.53397512354,44.879245940184845,216097.5848727932,0.02942330670995677,0.35393647457046673,2.202658331613528,1161.3151025879315,10933689.250132654,93.48538852659097,0.18342895570433054,38.04106388257199,8278.591019733713
211,"wind turbine construction, 750kW, onshore",ei_cutoff_3.10_image_SSP3-H_2050 2025-10-08,"Wind, onshore","wind turbine construction, 750kW, onshore (RoW)",MW,0.75,RoW,1968.7204985326414,818.4158345769271,7.9361081090335075,3509.5149552159837,1.2627597960015626,0.0672906995829176,0.0036902095557996,6.802775340260893,0.0462021910079452,3.005336228419903e-07,0.20042114707467426,3380.181363136198,9.847030998969435,1913.827610576285,0.007983465534820934,0.004096043477208666,4.043755600857823,1.211726013618999,1638.014645825955,0.8592062601415776,-0.004448761579962,51.31435369857811,5902.957655606926
212,"wind power plant construction, 2MW, offshore, fixed parts",ei_cutoff_3.10_image_SSP3-H_2050 2025-10-08,"Wind, offshore, fixed parts (Bonus 2 MW)","wind power plant construction, 2MW, offshore, fixed parts (GLO)",MW,2.0,GLO,329.0678618628848,257.4900953831233,4.250332064438373,1746.0933768017483,0.0031334878838676,0.0281130318031859,0.0046610520278479,0.8745362937328292,0.0452304801933857,5.141370535942451e-07,0.08627866494306245,1381.7072238038897,0.1474122129439066,1017.6999239100236,0.0025021775431938,0.0019712460670023,0.0113371525012667,1.4707722254347635,3035.3574228065017,0.3223252907560963,-0.00261934367506775,0.3475634490112436,257.7535034035444
213,"market for battery capacity, Sodium-ion, SiB",ei_cutoff_3.10_image_SSP3-H_2050 2025-10-08,Market for SiB,"market for battery capacity, Sodium-ion, SiB (GLO)",MWh,0.001,GLO,366.009042860806,0.0470174628729251,11.0447387835578,358.941545869365,0.000797709496862767,0.008808748757422475,2.070856650637904e-07,0.6674075797498,6.157533488773257e-07,1.9766943052561004e-11,0.013708563047984311,811.0770607466189,0.035097006781894965,196.8024929724961,0.0002088091862685112,0.00017721874474418655,0.008634263820254536,5.468598748804627e-05,0.7148849627676337,0.03512839626416438,0.00014232810880974385,0.07664135148721311,35.908986430639594
214,"wind power plant construction, 2MW, offshore, moving parts",ei_cutoff_3.10_remind_SSP2-PkBudg650_2050 2025-10-10,"Wind, offshore, moving parts (Bonus 2 MW)","wind power plant construction, 2MW, offshore, moving parts (GLO)",MW,2.0,GLO,1663.7827042617505,12533.48836085453,5.475328213713709,897.2840627446132,1.261080981419704,0.08877393067291375,0.0027653328109964,6.310080786384959,0.091601103428129,0.0002458450217547,0.7501405491202803,2007.6460983622471,9.633934082797005,4276.5564734070185,0.00123792902911245,0.00055382771283935,4.033430750781167,0.9839507032127172,1924.7664779822449,0.25752939162588995,0.00447878047814795,50.63830222567556,4601.14207293754
