component,location,carrier,0
Load,NO1 0,services urban decentral heat,
Load,NO1 0,urban central heat,
Load,PL0 0,H2 for industry,
Load,PL0 0,agriculture electricity,
Load,PL0 0,agriculture heat,
Load,PL0 0,agriculture machinery electric,
Load,PL0 0,electricity,
Load,PL0 0,industry electricity,
Load,PL0 0,land transport EV,
Load,PL0 0,low-temperature heat for industry,
Load,PL0 0,residential rural heat,
Load,PL0 0,residential urban decentral heat,
Load,PL0 0,services rural heat,
Load,PL0 0,services urban decentral heat,
Load,PL0 0,urban central heat,
Load,PT0 0,H2 for industry,
Load,PT0 0,agriculture electricity,
Load,PT0 0,agriculture heat,
Load,PT0 0,agriculture machinery electric,
Load,PT0 0,electricity,
Load,PT0 0,industry electricity,
Load,PT0 0,land transport EV,
Load,PT0 0,low-temperature heat for industry,
Load,PT0 0,residential rural heat,
Load,PT0 0,residential urban decentral heat,
Load,PT0 0,services rural heat,
Load,PT0 0,services urban decentral heat,
Load,PT0 0,urban central heat,
Load,RO0 0,H2 for industry,
Load,RO0 0,agriculture electricity,
Load,RO0 0,agriculture heat,
Load,RO0 0,agriculture machinery electric,
Load,RO0 0,electricity,
Load,RO0 0,industry electricity,
Load,RO0 0,land transport EV,
Load,RO0 0,low-temperature heat for industry,
Load,RO0 0,residential rural heat,
Load,RO0 0,residential urban decentral heat,
Load,RO0 0,services rural heat,
Load,RO0 0,services urban decentral heat,
Load,RO0 0,urban central heat,
Load,RS0 0,H2 for industry,
Load,RS0 0,agriculture electricity,
Load,RS0 0,agriculture heat,
Load,RS0 0,agriculture machinery electric,
Load,RS0 0,electricity,
Load,RS0 0,industry electricity,
Load,RS0 0,land transport EV,
Load,RS0 0,low-temperature heat for industry,
Load,RS0 0,residential rural heat,
Load,RS0 0,residential urban decentral heat,
Load,RS0 0,services rural heat,
Load,RS0 0,services urban decentral heat,
Load,RS0 0,urban central heat,
Load,SE1 0,H2 for industry,
Load,SE1 0,agriculture electricity,
Load,SE1 0,agriculture heat,
Load,SE1 0,agriculture machinery electric,
Load,SE1 0,electricity,
Load,SE1 0,industry electricity,
Load,SE1 0,land transport EV,
Load,SE1 0,low-temperature heat for industry,
Load,SE1 0,residential rural heat,
Load,SE1 0,residential urban decentral heat,
Load,SE1 0,services rural heat,
Load,SE1 0,services urban decentral heat,
Load,SE1 0,urban central heat,
Load,SI0 0,H2 for industry,
Load,SI0 0,agriculture electricity,
Load,SI0 0,agriculture heat,
Load,SI0 0,agriculture machinery electric,
Load,SI0 0,electricity,
Load,SI0 0,industry electricity,
Load,SI0 0,land transport EV,
Load,SI0 0,low-temperature heat for industry,
Load,SI0 0,residential rural heat,
Load,SI0 0,residential urban decentral heat,
Load,SI0 0,services rural heat,
Load,SI0 0,services urban decentral heat,
Load,SI0 0,urban central heat,
Load,SK0 0,H2 for industry,
Load,SK0 0,agriculture electricity,
Load,SK0 0,agriculture heat,
Load,SK0 0,agriculture machinery electric,
Load,SK0 0,electricity,
Load,SK0 0,industry electricity,
Load,SK0 0,land transport EV,
Load,SK0 0,low-temperature heat for industry,
Load,SK0 0,residential rural heat,
Load,SK0 0,residential urban decentral heat,
Load,SK0 0,services rural heat,
Load,SK0 0,services urban decentral heat,
Load,SK0 0,urban central heat,
Load,XK0 0,H2 for industry,
Load,XK0 0,agriculture electricity,
Load,XK0 0,agriculture heat,
Load,XK0 0,agriculture machinery electric,
Load,XK0 0,electricity,
Load,XK0 0,industry electricity,
Load,XK0 0,land transport EV,
Load,XK0 0,low-temperature heat for industry,
Load,XK0 0,residential rural heat,
Load,XK0 0,residential urban decentral heat,
Load,XK0 0,services rural heat,
Load,XK0 0,services urban decentral heat,
Load,XK0 0,urban central heat,
Generator,AL0 0,load,0.0
Generator,AL0 0,offwind-ac,0.20173237607325614
Generator,AL0 0,offwind-dc,0.3235643848059387
Generator,AL0 0,onwind,0.04827167266726339
Generator,AL0 0,residential rural solar thermal,0.02192781645097921
Generator,AL0 0,residential urban decentral solar thermal,0.022516879368748917
Generator,AL0 0,ror,0.33557800829875517
Generator,AL0 0,services rural solar thermal,0.020160743125482553
