cost,component,location,carrier,0
capital,Generator,HR0 0,solar rooftop,66013871.90338
capital,Generator,HR0 0,solar-hsat,14095762.47825
capital,Generator,HR0 0,urban central solar thermal,770191.76133
capital,Generator,HU0 0,load,0.0
capital,Generator,HU0 0,nuclear,1431488900.54397
capital,Generator,HU0 0,onwind,627742622.62279
capital,Generator,HU0 0,residential rural solar thermal,692382.78559
capital,Generator,HU0 0,residential urban decentral solar thermal,748118.7138
capital,Generator,HU0 0,ror,6070956.3265
capital,Generator,HU0 0,services rural solar thermal,694810.01204
capital,Generator,HU0 0,services urban decentral solar thermal,649740.76293
capital,Generator,HU0 0,solar,357678393.29317
capital,Generator,HU0 0,solar rooftop,15691369.62626
capital,Generator,HU0 0,solar-hsat,16410168.63369
capital,Generator,HU0 0,urban central solar thermal,796649.25356
capital,Generator,IE3 0,load,0.0
capital,Generator,IE3 0,offwind-ac,2003804925.18105
capital,Generator,IE3 0,offwind-dc,531645938.43079
capital,Generator,IE3 0,onwind,447608508.22036
capital,Generator,IE3 0,residential rural solar thermal,576682.7452
capital,Generator,IE3 0,residential urban decentral solar thermal,625637.25599
capital,Generator,IE3 0,ror,66564800.33115
capital,Generator,IE3 0,services rural solar thermal,539577.69606
capital,Generator,IE3 0,services urban decentral solar thermal,537612.39549
capital,Generator,IE3 0,solar,128882393.23307
capital,Generator,IE3 0,solar rooftop,35734469.49598
capital,Generator,IE3 0,solar-hsat,33607401.84518
capital,Generator,IE3 0,urban central solar thermal,669868.04212
capital,Generator,IT0 0,load,0.0
capital,Generator,IT0 0,nuclear,1109621110.04693
capital,Generator,IT0 0,offwind-ac,11958321.18089
capital,Generator,IT0 0,offwind-dc,1234546594.90807
capital,Generator,IT0 0,onwind,901819645.4591
capital,Generator,IT0 0,residential rural solar thermal,1138592.98782
capital,Generator,IT0 0,residential urban decentral solar thermal,1202133.31188
capital,Generator,IT0 0,ror,2385990614.24019
capital,Generator,IT0 0,services rural solar thermal,1195224.56888
capital,Generator,IT0 0,services urban decentral solar thermal,1121051.97409
capital,Generator,IT0 0,solar,21235707405.31514
capital,Generator,IT0 0,solar rooftop,3657380659.2329
capital,Generator,IT0 0,solar-hsat,38430747.93987
capital,Generator,IT0 0,urban central solar thermal,1306082.09222
capital,Generator,IT4 0,load,0.0
capital,Generator,IT4 0,offwind-ac,10119234.62692
capital,Generator,IT4 0,offwind-dc,22315910.4337
capital,Generator,IT4 0,onwind,1368383091.82528
capital,Generator,IT4 0,residential rural solar thermal,774078.29987
capital,Generator,IT4 0,residential urban decentral solar thermal,671977.30053
capital,Generator,IT4 0,ror,39784795.01274
capital,Generator,IT4 0,services rural solar thermal,741050.23556
capital,Generator,IT4 0,services urban decentral solar thermal,631025.20092
capital,Generator,IT4 0,solar,558481444.37651
capital,Generator,IT4 0,solar rooftop,93228379.05059
capital,Generator,IT4 0,solar-hsat,27122149.55908
capital,Generator,IT4 0,urban central solar thermal,624480.75619
capital,Generator,LT0 0,load,0.0
capital,Generator,LT0 0,nuclear,1960134952.64114
capital,Generator,LT0 0,offwind-ac,31519577.22433
capital,Generator,LT0 0,offwind-dc,508817571.26299
capital,Generator,LT0 0,onwind,112529279.71276
capital,Generator,LT0 0,residential rural solar thermal,480402.62248
capital,Generator,LT0 0,residential urban decentral solar thermal,516379.6356
capital,Generator,LT0 0,ror,31125207.56225
capital,Generator,LT0 0,services rural solar thermal,470527.11222
capital,Generator,LT0 0,services urban decentral solar thermal,457125.26618
capital,Generator,LT0 0,solar,142939619.9263
capital,Generator,LT0 0,solar rooftop,28019788.9653
capital,Generator,LT0 0,solar-hsat,22232646.19958
capital,Generator,LT0 0,urban central solar thermal,547894.67661
capital,Generator,LU0 0,load,0.0
capital,Generator,LU0 0,onwind,14623519.09217
capital,Generator,LU0 0,residential rural solar thermal,355090.79109
capital,Generator,LU0 0,residential urban decentral solar thermal,403366.23107
capital,Generator,LU0 0,services rural solar thermal,375545.48499
capital,Generator,LU0 0,services urban decentral solar thermal,392287.92776
capital,Generator,LU0 0,solar,152446392.17686
capital,Generator,LU0 0,solar rooftop,27830622.82917
capital,Generator,LU0 0,solar-hsat,23111570.16117
capital,Generator,LU0 0,urban central solar thermal,427001.01991
capital,Generator,LV0 0,load,0.0
capital,Generator,LV0 0,offwind-ac,18524491.24121
capital,Generator,LV0 0,offwind-dc,83229303.24658
capital,Generator,LV0 0,onwind,40559728.72754
capital,Generator,LV0 0,residential rural solar thermal,491689.83534
capital,Generator,LV0 0,residential urban decentral solar thermal,522969.61645
capital,Generator,LV0 0,ror,473380508.2809
capital,Generator,LV0 0,services rural solar thermal,500034.5673
capital,Generator,LV0 0,services urban decentral solar thermal,473300.85344
capital,Generator,LV0 0,solar,343262969.89944
capital,Generator,LV0 0,solar rooftop,18617930.11427
capital,Generator,LV0 0,solar-hsat,36141367.20584
capital,Generator,LV0 0,urban central solar thermal,556614.46764
capital,Generator,ME0 0,load,0.0
capital,Generator,ME0 0,offwind-ac,4626387.53825
capital,Generator,ME0 0,offwind-dc,15122224.26766
capital,Generator,ME0 0,onwind,11117931.76227
capital,Generator,ME0 0,residential rural solar thermal,554513.69301
capital,Generator,ME0 0,residential urban decentral solar thermal,563485.68227
capital,Generator,ME0 0,ror,1651793.1934
capital,Generator,ME0 0,services rural solar thermal,517663.99125
capital,Generator,ME0 0,services urban decentral solar thermal,506224.54397
capital,Generator,ME0 0,solar,274397590.86759
capital,Generator,ME0 0,solar rooftop,34883416.91366
capital,Generator,ME0 0,solar-hsat,28184647.08818
capital,Generator,ME0 0,urban central solar thermal,564074.69165
capital,Generator,MK0 0,load,0.0
capital,Generator,MK0 0,onwind,6877794.17085
capital,Generator,MK0 0,residential rural solar thermal,592962.0216
capital,Generator,MK0 0,residential urban decentral solar thermal,600202.01165
capital,Generator,MK0 0,ror,59045443.2567
capital,Generator,MK0 0,services rural solar thermal,561417.92474
capital,Generator,MK0 0,services urban decentral solar thermal,558746.26695
capital,Generator,MK0 0,solar,279390723.45164
capital,Generator,MK0 0,solar rooftop,79637420.69177
capital,Generator,MK0 0,solar-hsat,26773372.90238
capital,Generator,MK0 0,urban central solar thermal,594294.4973
capital,Generator,NL0 0,load,0.0
capital,Generator,NL0 0,nuclear,45235448.63976
capital,Generator,NL0 0,offwind-ac,1067399499.81026
capital,Generator,NL0 0,offwind-dc,123641067.50177
capital,Generator,NL0 0,onwind,4409252804.49433
capital,Generator,NL0 0,residential rural solar thermal,541538.71695
capital,Generator,NL0 0,residential urban decentral solar thermal,767987.70389
capital,Generator,NL0 0,services rural solar thermal,834937.28806
capital,Generator,NL0 0,services urban decentral solar thermal,705222.71128
capital,Generator,NL0 0,solar,1953679738.08042
capital,Generator,NL0 0,solar rooftop,17284269.51032
capital,Generator,NL0 0,solar-hsat,26050691.90609
capital,Generator,NL0 0,urban central solar thermal,839880.42907
capital,Generator,NO1 0,load,0.0
capital,Generator,NO1 0,offwind-ac,98923958.97282
capital,Generator,NO1 0,offwind-dc,210101775.18622
capital,Generator,NO1 0,onwind,520453875.78655
capital,Generator,NO1 0,residential rural solar thermal,493598.52671
capital,Generator,NO1 0,residential urban decentral solar thermal,628858.06188
capital,Generator,NO1 0,ror,340682346.13927
capital,Generator,NO1 0,services rural solar thermal,484032.66484
capital,Generator,NO1 0,services urban decentral solar thermal,596420.12839
capital,Generator,NO1 0,solar,27314092.81125
capital,Generator,NO1 0,solar rooftop,4470732.39689
capital,Generator,NO1 0,solar-hsat,79946558.89767
capital,Generator,NO1 0,urban central solar thermal,706044.15303
capital,Generator,PL0 0,load,0.0
capital,Generator,PL0 0,offwind-ac,1294163979.37891
capital,Generator,PL0 0,offwind-dc,3583793080.28441
capital,Generator,PL0 0,onwind,5735776086.65216
capital,Generator,PL0 0,residential rural solar thermal,802991.93671
capital,Generator,PL0 0,residential urban decentral solar thermal,809742.91892
capital,Generator,PL0 0,ror,56210389.48212
capital,Generator,PL0 0,services rural solar thermal,874761.45564
capital,Generator,PL0 0,services urban decentral solar thermal,697141.0739
capital,Generator,PL0 0,solar,1299982051.40985
capital,Generator,PL0 0,solar rooftop,11781493.51574
capital,Generator,PL0 0,solar-hsat,37300961.4657
capital,Generator,PL0 0,urban central solar thermal,906344.79872
capital,Generator,PT0 0,load,0.0
capital,Generator,PT0 0,offwind-ac,46498646.25019
capital,Generator,PT0 0,offwind-dc,31583157.26005
capital,Generator,PT0 0,onwind,501513913.57073
capital,Generator,PT0 0,residential rural solar thermal,746170.92753
capital,Generator,PT0 0,residential urban decentral solar thermal,785192.04861
capital,Generator,PT0 0,ror,788238177.25466
capital,Generator,PT0 0,services rural solar thermal,804527.05347
capital,Generator,PT0 0,services urban decentral solar thermal,771251.23919
capital,Generator,PT0 0,solar,330188618.61063
capital,Generator,PT0 0,solar rooftop,596654780.08266
capital,Generator,PT0 0,solar-hsat,179464700.29585
capital,Generator,PT0 0,urban central solar thermal,966694.49765
capital,Generator,RO0 0,load,0.0
capital,Generator,RO0 0,nuclear,980092445.06822
capital,Generator,RO0 0,offwind-ac,307981980.88039
capital,Generator,RO0 0,offwind-dc,4077570138.09129
capital,Generator,RO0 0,onwind,518812665.47723
capital,Generator,RO0 0,residential rural solar thermal,874077.14393
capital,Generator,RO0 0,residential urban decentral solar thermal,870844.0659
capital,Generator,RO0 0,ror,1085206556.13942
capital,Generator,RO0 0,services rural solar thermal,771115.35361
capital,Generator,RO0 0,services urban decentral solar thermal,696186.60453
capital,Generator,RO0 0,solar,821839859.6233
capital,Generator,RO0 0,solar rooftop,96812673.68203
capital,Generator,RO0 0,solar-hsat,20047440.4458
capital,Generator,RO0 0,urban central solar thermal,970915.40052
capital,Generator,RS0 0,load,0.0
capital,Generator,RS0 0,onwind,72697563.89632
capital,Generator,RS0 0,residential rural solar thermal,692593.91243
capital,Generator,RS0 0,residential urban decentral solar thermal,700978.75123
capital,Generator,RS0 0,ror,526478263.35986
capital,Generator,RS0 0,services rural solar thermal,597354.82482
capital,Generator,RS0 0,services urban decentral solar thermal,599446.70643
capital,Generator,RS0 0,solar,181310056.84445
capital,Generator,RS0 0,solar rooftop,43151859.31635
capital,Generator,RS0 0,solar-hsat,13426872.44788
capital,Generator,RS0 0,urban central solar thermal,740534.73529
capital,Generator,SE1 0,load,0.0
capital,Generator,SE1 0,nuclear,7431707355.34189
capital,Generator,SE1 0,offwind-ac,84197188.62128
capital,Generator,SE1 0,offwind-dc,717880657.62044
capital,Generator,SE1 0,onwind,1561395893.08382
capital,Generator,SE1 0,residential rural solar thermal,564169.43514
capital,Generator,SE1 0,residential urban decentral solar thermal,733758.12375
capital,Generator,SE1 0,ror,428664987.31771
capital,Generator,SE1 0,services rural solar thermal,564963.25361
capital,Generator,SE1 0,services urban decentral solar thermal,617708.10468
capital,Generator,SE1 0,solar,107450358.24873
capital,Generator,SE1 0,solar rooftop,7721838.93679
capital,Generator,SE1 0,solar-hsat,974292943.36592
capital,Generator,SE1 0,urban central solar thermal,784250.43784
capital,Generator,SI0 0,load,0.0
capital,Generator,SI0 0,nuclear,524645036.39618
capital,Generator,SI0 0,offwind-ac,1633593.00562
capital,Generator,SI0 0,onwind,3105836.41423
capital,Generator,SI0 0,residential rural solar thermal,556106.49735
capital,Generator,SI0 0,residential urban decentral solar thermal,563562.60041
capital,Generator,SI0 0,ror,155445758.14368
capital,Generator,SI0 0,services rural solar thermal,525715.33165
capital,Generator,SI0 0,services urban decentral solar thermal,506717.94215
capital,Generator,SI0 0,solar,10870068.36704
capital,Generator,SI0 0,solar rooftop,6291882.63425
capital,Generator,SI0 0,solar-hsat,3362334.84002
capital,Generator,SI0 0,urban central solar thermal,596389.5194
capital,Generator,SK0 0,load,0.0
capital,Generator,SK0 0,nuclear,1462541222.38813
capital,Generator,SK0 0,onwind,16156749.68914
capital,Generator,SK0 0,residential rural solar thermal,628861.49529
capital,Generator,SK0 0,residential urban decentral solar thermal,635931.10158
capital,Generator,SK0 0,ror,375255980.16312
capital,Generator,SK0 0,services rural solar thermal,595731.99918
capital,Generator,SK0 0,services urban decentral solar thermal,581283.53245
capital,Generator,SK0 0,solar,466853873.54524
capital,Generator,SK0 0,solar rooftop,40729619.0618
capital,Generator,SK0 0,solar-hsat,18005028.96389
capital,Generator,SK0 0,urban central solar thermal,683209.64671
capital,Generator,XK0 0,load,0.0
capital,Generator,XK0 0,onwind,12721658.81528
capital,Generator,XK0 0,residential rural solar thermal,542265.58982
capital,Generator,XK0 0,residential urban decentral solar thermal,550927.08993
